star,host_star,pl_ltr,sys_stars,sys_planets,sys_moons,disc_method,disc_year,disc_location,disc_facility,orb_period,pl_radius_e,pl_mass_e,pl_density,pl_flux,pl_temp_k,st_type,st_temp_k,st_radius_s,st_mass_s,st_bright,st_gravity,st_age,st_density,gal_lat,gal_long,distance,habit_code,planet,inhabit code
Kepler-1653 b,Kepler-1653,b,1,1,0,Transit,2017,Space,Kepler,140.2524,2.17,5.35,3.08,0.18,284,,4807,0.69,0.72,-0.636,4.62,7.7,2.16,8.248385,75.35177,,0,Kepler-1653 b,2
Kepler-1701 b,Kepler-1701,b,1,1,0,Transit,2020,Space,Kepler,169.134,2.222,5.57,2.79,,,,5146,0.84,0.87,-0.351,4.53,,2.06781,15.13728,72.61903,584.142,0,Kepler-1701 b,2
Kepler-174 d,Kepler-174,d,1,3,0,Transit,2014,Space,Kepler,247.35373,2.19,5.43,2.84,0.01,212,,4880,0.62,0.6,-0.57,4.68,4.9,3.3395,15.33893,74.71866,384.757,0,Kepler-174 d,2
Kepler-186 f,Kepler-186,f,1,5,0,Transit,2014,Space,Kepler,129.9441,1.17,1.71,5.87,0.1,177,M1,3755,0.52,0.54,-1.26,4.74,4,5.29,8.170597,78.51992,177.594,0,Kepler-186 f,1
Kepler-22 b,Kepler-22,b,1,1,0,Transit,2011,Space,Kepler,289.8623,2.38,36,14.7,0.01,262,G5 V,5518,0.98,0.97,-0.102,4.44,7.08,1.458,15.79228,79.09186,194.642,0,Kepler-22 b,2
Kepler-283 c,Kepler-283,c,1,2,0,Transit,2014,Space,Kepler,92.743711,1.82,3.97,3.62,0.04,240,,4351,0.57,0.6,-0.983,4.72,3.09,0.06394,13.09317,80.3201,468.094,0,Kepler-283 c,2
Kepler-296 e,Kepler-296,e,2,5,0,Transit,2014,Space,Kepler,34.14211,1.53,2.96,4.1,0.25,337,,3740,0.48,0.5,-1.569,4.77,4.2,6.4,18.01448,79.90121,,0,Kepler-296 e,2
Kepler-296 f,Kepler-296,f,2,5,0,Transit,2014,Space,Kepler,63.33627,1.8,3.89,3.2,0.11,274,,3740,0.48,0.5,-1.569,4.77,4.2,6.4,18.01448,79.90121,,0,Kepler-296 f,2
Kepler-298 d,Kepler-298,d,1,3,0,Transit,2014,Space,Kepler,77.473633,2.5,6.8,2.39,0.07,277,,4465,0.58,0.66,-0.733,4.71,2.4,3.24928,19.96084,78.47036,518.204,0,Kepler-298 d,2
Kepler-440 b,Kepler-440,b,1,1,0,Transit,2015,Space,Kepler,101.11141,1.86,4.12,3.52,0.46,229,,4134,0.56,0.57,-1.102,4.71,1.3,4.76,15.83532,71.8233,301.03,0,Kepler-440 b,2
Kepler-442 b,Kepler-442,b,1,1,0,Transit,2015,Space,Kepler,112.3053,1.34,2.36,5.39,0.23,241,,4402,0.6,0.61,-0.932,4.67,2.9,4.01,14.98428,69.75017,365.965,0,Kepler-442 b,1
Kepler-443 b,Kepler-443,b,1,1,0,Transit,2015,Space,Kepler,177.6693,2.33,6.04,2.62,0.29,233,,4723,0.71,0.74,-0.664,4.61,3.2,2.96,16.96457,80.93549,802.271,0,Kepler-443 b,2
Kepler-452 b,Kepler-452,b,1,1,0,Transit,2015,Space,Kepler,384.843,1.63,3.29,4.17,0.29,265,G2,5757,1.11,1.04,0.087,4.32,6,0.84,9.987698,77.86458,551.727,0,Kepler-452 b,2
Kepler-61 b,Kepler-61,b,1,1,0,Transit,2013,Space,Kepler,59.87756,2.15,5.27,2.91,0.17,273,K7 V,4017,0.62,0.64,-0.971,4.67,1,4.93239,9.581543,76.00964,335.079,0,Kepler-61 b,2
Kepler-62 e,Kepler-62,e,1,5,0,Transit,2013,Space,Kepler,122.3874,1.61,36,,0.03,270,K2 V,4925,0.64,0.69,-0.678,4.68,7,3.8,18.69533,75.03767,300.874,0,Kepler-62 e,2
Kepler-62 f,Kepler-62,f,1,5,0,Transit,2013,Space,Kepler,267.291,1.41,35,,0.01,208,K2 V,4925,0.64,0.69,-0.678,4.68,7,3.8,18.69533,75.03767,300.874,0,Kepler-62 f,1
Kepler-705 b,Kepler-705,b,1,1,0,Transit,2016,Space,Kepler,56.0560538,2.11,5.1,5.55,0.09,265,,3722,0.51,0.53,-1.385,4.75,3.89,4.55841,13.13191,73.44994,276.881,0,Kepler-705 b,2
LHS 1140 b,LHS 1140,b,1,2,0,Transit,2017,Ground,MEarth Project,24.736959,1.727,6.98,7.5,0.03,235,M4.5 V,3216,0.21,0.18,-2.356,,5,,-78.04888,115.4004,14.9861,0,LHS 1140 b,2
Proxima Cen b,Proxima Cen,b,3,1,0,Radial Velocity,2016,Ground,European Southern Observatory,11.186,1.08,1.27,5.54,,234,M5.5 V,3050,0.14,0.12,-2.81,,,,-1.927165,313.9399,1.30119,0,Proxima Cen b,1
Ross 128 b,Ross 128,b,1,1,0,Radial Velocity,2017,Ground,La Silla Observatory,9.8658,1.11,1.4,5.63,,301,M4,3192,0.2,0.17,-2.441,,5,,59.55912,270.1471,3.37454,0,Ross 128 b,1
TOI-700 d,TOI-700,d,1,3,0,Transit,2020,Space,Transiting Exoplanet Survey Satellite (TESS),37.42475,1.144,1.57,5.76,0.1,269,M2 V,3461,0.42,0.41,-1.635,4.8,1.5,7.68,-26.8807,275.4691,31.1265,0,TOI-700 d,1
TRAPPIST-1 d,TRAPPIST-1,d,1,7,0,Transit,2016,Ground,La Silla Observatory,4.04961,0.772,0.41,4.9,0.09,288,,2559,0.12,0.08,-3.281,,,71.5,-56.64466,69.71302,,0,TRAPPIST-1 d,1
TRAPPIST-1 f,TRAPPIST-1,f,1,7,0,Transit,2017,Multiple Locales,Multiple Observatories,9.20669,1.045,0.68,3.3,0.03,219,,2559,0.12,0.08,-3.281,,,71.5,-56.64466,69.71302,,0,TRAPPIST-1 f,1
TRAPPIST-1 g,TRAPPIST-1,g,1,7,0,Transit,2017,Multiple Locales,Multiple Observatories,12.35294,1.127,1.34,5.2,0.02,199,,2559,0.12,0.08,-3.281,,,71.5,-56.64466,69.71302,,0,TRAPPIST-1 g,1
Wolf 1061 c,Wolf 1061,c,1,3,0,Radial Velocity,2015,Ground,La Silla Observatory,17.8719,1.66,3.41,4.1,,,M3.5,3342,0.31,0.29,-1.991,,,,23.67993,3.351707,4.30592,0,Wolf 1061 c,1
tau Cet f,tau Cet,f,1,4,0,Radial Velocity,2017,Ground,Multiple Observatories,636.13,1.81,3.93,3.64,,,,,,0.78,,,,,-73.4397,173.1008,3.60304,0,tau Cet f,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Teegarden's star b,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trappiest-1 e,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Teegarden's star c,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,K2-296 b,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Keppler-1552 b,2
